Job Title,Company,Posted Date,Number of Applicants,Seniority Level,Job Function,Company Industry,Detail Desc,Employment Type
Software Developer / Software Engineer - South Jakarta,Hacktiv8 Indonesia,3 weeks ago,Be among the first 25 applicants,Entry level,Engineering,Marketing and Advertising,"Job Role

As a software developer, you’ll be the brain behind crafting, developing, testing, going live and maintaining the system. You are passionate in understanding the business context for features built to drive better customer experience and adoption.

Responsibilities
Familiar with the software development life cycle (SDLC) from analysis to deployment.
Comply with coding standards and technical design.
Believes in systematic approach to developing the system through clear documentation (flowcharts, layouts, & etc) of functionality, address every use case through creative solutions.
Adapts structured coding styles for easy review, testing and maintainability of the code.
Integrate the developed functionality and/or component into a fully functional system.
Ensure unit and integration level verification plan are in place and adheres to great quality of code at all time.
Active participate in troubleshooting, debugging and updating current live system.
Verify user feedback in making system more stable and easy.
Work closely with analysts, designers and other peer developers.
Preparing technical training documents for onboarding new engineers.

Requirements
Bachelor’s degree in computer science or equivalent practical experience.
2+ years of experience as Software Engineer or Software Developer or in a relevant role.
Fresh graduate are welcome
Understanding of OOPS concepts, Persistence, Threading.
Proficient in Javascript Framework or other programming languages.
Hands-on with SQL or PostgreSQL database.
Knowledgeable in data structures and algorithms.
Experience with open-source projects.
Experience in designing interactive applications.
A background in Engineering with sound oral and written communication skills.
Prior experience with AWS, Azure, Google or Openstack will be a plus.",Full-time
Cybersecurity Consultant (Cloud and DevOps) - Jakarta,Horangi Cyber Security,3 weeks ago,Be among the first 25 applicants,Executive,Information Technology,Computer & Network Security,"Building a Safer Cyberspace:
At Horangi, we’re passionate about building safer cyberspace and creating software and services that solve challenging cybersecurity problems. Horangi focuses on building partnerships with our customers, developing an understanding of their business goals and building a security strategy that helps achieve their objectives. Horangi’s personnel have extensive engineering experience and a strong background in penetration testing, incident response and strategic consulting including both large multinational networks and small organisations with focused missions. We enjoy solving tough security problems and we are eager to find new challenges and build new relationships.

See what we're doing here!
https://www.horangi.com/
https://www.horangi.com/services

The Role:
Horangi Cyber Security Consultant works directly with Horangi’s customers to perform cyber security assessments. Members of the Cyber Security Consultant team in Strategic Services are generally familiar with most aspects of cybersecurity but specialize in cybersecurity architecture, cloud security, cyber risk management, network and infrastructure security, application security, and security compliance.

Do some or most of the following apply to you?
Passionate in the cybersecurity domains and strive to explore new technologies, skillset, frameworks and trends
Being proactive and work independently with minimal supervision and like having autonomy a to make decisions
Being a team player, trust and challenge each other, possess good interpersonal communication skills and helping mind in a team-oriented environment
Being able to communicate well, and willing to receive criticism and feedback
Ability to adapt fast in a startup environment
Being responsible and take pride in your work, willing to proactively conduct research as necessary to perform the assessment properly and improve the quality of deliverables 
Able to prioritise shifting workloads in a rapidly changing industry
Being user-centric and empathise with the client to solve their problems
Willing to travel around within South-east Asia and enjoy being out of your comfort zone.
Has experience with a good knowledge of Unix, Linux, Windows, network devices, firewalls, web and/or mobile application developmentsIs familiar with cloud environments such as AWS, Alibaba, or GCP, including with containerisation such as Docker and Kubernetes
Has experience with complex information technology environments, including to review and assessment network and infrastructure design/diagram
Has experience in risk management, including with risk scoring or assessment and good reporting skill
Is familiar with managing infrastructure and technology in Microservice stack (such as Load Balancing, HAProxy, ORA Weblogic, Kafka or Kong)Has knowledge on how to perform assessment or analysis on the level of application, network and infrastructure for new application development or system integrationHas capability to understand SDLC processes to support IT operation and development for security compliance
Has a good understanding of SAST & DAST will be excellent
Has general knowledge of information security management frameworks, such as ISO/IEC 27001, NIST, or PCI DSS
Understanding of how business strategy, risk, regulation and technical constraints influence organisational responses to cyber security
Excellent Bahasa Indonesia and English communication skills – both oral (for interviews/meetings, presentations) and written (for designing and writing engaging reports which communicate assessment report succinctly and clearly convey the message in a way which is appropriate for the audiences)
Strong business skills including presentation and report writing skills, analytical and problem-solving capabilities, strong project management, facilitation and delivery skills
Like the sharing and cohesive culture by learning and improving together. We don't have any ""subes"", ""suhu"", ""panutanque"", ""master"", or similar words here. In our culture, no one is smarter than anyone. It is just a matter of who knows the knowledge in advance

Key responsibilities:
Executing delivery of cybersecurity services for clients including:
Penetration Test and Remediation assistance on client for works: web application penetration test, mobile application penetration test, Network security assessments, API penetration test, Thick client application penetration test, and also assistance in categorisation and remediation of issues
Secure architecture reviews and assistance including: reviewing architectures from client's product teams and providing security related feedback, analysis and synthesis on feature changes and integrating security into these applications, communication of security focus in agendas with product management for new and existing application development
Cloud Security & Compliance review and assistance including: Assisting and supporting the triage and identification of cloud security and compliance issues, training and education with the engineering & product teams around cloud security and compliance issues, integration with the CSIRT and other teams to effectively handle issue identification and remediation, technical and policy advisory around security and compliance issues
Consult and advise with client's organizational personnel at tactical, operational, and strategic levels to achieve project goals on compliance toward a variety of regulatory compliance and industry standard frameworks
Contribute to the development of the cybersecurity service framework within the firm.
Draft, report and present to customer including leadership and executive management on on assessment findings, program statuses, and other security items as they impact business goals
Develop and deliver content on security domains of expertise to establish yourself, our team, and our brand as thought leaders in the community
Participate in speaking engagements and industry events to establish yourself, our team, and our brand as thought leaders in the community

Experience and certification:
1-3 years or more involvement in various complex and large environments, including client-facing cybersecurity consulting experiences.
Experience on communicating in Bahasa Indonesia and English proficiently both in written and spoken language in the business context both for internal coordination and client-facing. 
At least 1 Cybersecurity-related certification, such as ISO 27001 Lead Implementer / Lead Auditor, ISC2 CISSP, ISACA CISA, ISACA CISM, ISACA CGEIT, ISACA CRISC, OSCP, OSWP, OSCE, OSWE, CompTIA Security+
Preferably has cloud or cloud security related certifications such as AWS Cloud Practitioner and/or Solutions Architect, or AWS Security Specialty, or Google Cloud Architect and/or Data Engineer, or Google Cloud Security Engineer
Experience on delivering cybersecurity services, preferably for multinational companies
Experience on working with different units/parties on security-related matters

Join us at Horangi, and do the best work of your life. Welcome!",Full-time
Senior Software Engineer,OVO (PT Visionet Internasional),7 days ago,Be among the first 25 applicants,Mid-Senior level,Information Technology,Information Technology and Services,"Who We Are
OVO is Indonesia’s fastest growing and leading payments and financial services platform in Indonesia. Within 2 years, OVO has been recognised as Indonesia’s 5th unicorn and continues to win customer mindshare and heartshare through its innovations within Payments and as it accelerates its Financial Services offerings including digital lending, insurance and investments. 
Anchoring on its vision and mission to be the largest Fintech platform in Indonesia through providing Indonesians with equal financial access, to date, OVO has extended its reach to be available across 115mn devices across >30 cities nationwide and is accepted across >500 retailers.

You Will
Develop and implements software components with a design based on modular components and object-oriented principles
Contribute to API Infrastructure design and set up, by working with DevOps and Engineers
Collaborate with team members and document the principles and frameworks that guide architecture decisions. Participates in peer/technical reviews
Develop and maintain backward compatibility APIs for several mobile and web applications
Create, integrate and modify API to third-party partners (e.g.: merchants, payment gateways)

What You Need
University degree in the field of computer science. An advanced degree in this fields is a plus.
Minimum of 4 years of overall enterprise level software development in financial service / banking industry (exposure to fintech would be a plus)
Strong exposure to Go language, paradigms, constructs, routine, and channel patterns that include pointers, testing, concurrency, etc.
Familiarity with OWASP security principles
Working knowledge of unit testing and design patterns
Experience implementing secure, resilient, high-performance public REST APIs
Familiar with Version Control System (Ex: Git, Mercurial)
Team player with a collaborative work ethic
Willing to learn, share and teach",Full-time
Software Engineer – Web,Quipper,4 weeks ago,Be among the first 25 applicants,Entry level,Engineering,Information Technology and Services,"Appeal of the work



・Global Team

Quipper has bases in London, Tokyo, Manila, Jakarta, and Mexico City. Our members across the world work together using GitHub and Slack. We also place importance on connecting the team members via visits to the offices in each country and seeing one another face-to-face as well as through a company-wide meeting every other week.

・Product Development Focused on Users

In developing a product, we think it’s important to keep improving the overall service by observing the user reactions and making small modifications. People in marketing and sales, as well as designers and producers also often discuss and review the services on GitHub.

Our engineers and designers go around schools in the world, listen to the voices of users, and seek for a UI that is globally adapted and easy for anyone to use, and a UX that works fast with any line in the world for a more enjoyable learning overall.

Knowledge, Skills, And Abilities

Must
Empathy with our mission “Distributors of Wisdom” and “Revolutionizing Distribution of Knowledge,” and for our style of Engineering
Experience in developing standard Web applications
Wants
Output activity online as a software developer e.g. blog, GitHub
Experience in development using Ruby on Rails
Experience in developing rich front-end such as React or Backbone.js
Ability to design and/or make proposals to enhance UI/UX usability
Ability to work independently and with a team; flexible; and willing to perform various tasks
Strong computer skills, proficient in Ruby, JavaScript, and willing to learn new technology
Ability to adapt in a fast-paced environment
Positive results-oriented outlook
Has good oral and written English communication skills
Flexible (easily adjusts to sudden changes)
Strong interpersonal, intrapersonal and analytical skills
Ability to multi-task and manage deadline schedules
Experience in developing standard web applications
Technologies and tools used
Language: Ruby, JavaScript, etc.
Framework: Ruby on Rails, React.js, etc.
Database: MongoDB, Redis, PostgreSQL
Infrastructure: AWS, Heroku, GCP, Docker, Kubernetes
Why apply to us?
HMO upon regularization with additional 3 dependent (fully covered by the Company)
12 VL (5VL can be carried over to following year), Unlimited SL for 1 year, Additional benefit to special leave per event (Marriage, paternity, death, hospitalised family member)
Company-issued item (laptop to be provided upon regularization)
Promotion opportunities
Opportunity to meet and train abroad
Free location policy (support for working temporarily from global offices)
Government mandated benefits
Work Conditions

[Current] Remote work setup
Are you interested and passionate to revolutionize education?
Apply now and be a Distributor of Wisdom.
Send your application from the button below.",Full-time
Senior Network Automation Engineer,Nokia,1 week ago,Be among the first 25 applicants,Not Applicable,Engineering,Information Technology and Services,"About Nokia

We create the critical networks and technologies to bring together the world’s intelligence, across businesses, cities, supply chains and societies. With our commitment to innovation and technology leadership, driven by the award-winning Nokia Bell Labs, we deliver networks at the limits of science across mobile, infrastructure, cloud, and enabling technologies. Adhering to the highest standards of integrity and security, we help build the capabilities we need for a more productive, sustainable and inclusive world.

About IP Optical Networks

Our IP/Optical Networks business group (ION) includes IP, optical and network automation technologies and related services sold to our communication service provider customers as well as adjacent markets including webscale companies and enterprises. Our comprehensive wide area networking (WAN) solutions enable our customers to build and operate automated, secure, and high-performance networks at massive scale – helping to interconnect people and things from any broadband access modality to – and among - edge clouds, central clouds, the Internet, and other services and data centers.

Job Description

Senior Network Automation Engineer

Goal
Develop deployment network automation tools for IP/MPLS project deliveries
Build the regional Customer Engineering (CE) network automation center of excellence
Support regional scripting/automation for network deployment and audit
Become a GOTO engineer for all automation needs with regional/global exposure


Responsibilities

Job Responsibilities & Competencies
Build software development environment or knowledgeable with GIT and software versioning principle
Learn networking technologies and familiarize with SROS configuration
Develop the network automation tools and deploy them to the Customer Engineering (CE) team
Perform requirements designation and importance analysis; perform verifiability analysis; perform risk analysis.
Perform Use Case Analysis, scenario determination and develop sequence diagrams to support the requirements analysis, architecture & high-level design activities.
Create software architecture/description document and user guides
Maintain Requirements & Design traceability.
Maintain traceability between requirement sets (Customer, System, Subsystems and System Elements), maintain traceability to architecture and design documents; support traceability to verification activities.

Key Deliverables
Procude working network automation tools
Produce software architecture/description and user guide
Configure test bed and develop the network automation tools
Deliver workshop/training how to the created tools


Skills

Qualifications
Bachelor in Engineering or computer science with 7 years plus software development experience.
Knowledgeable in Python software development, Visual Basic/Macro in MS Excel
Knowledgeable in Unix environment as “admin/root” user familiar with Unix services DNS, NFS, SSH, HTTP, FTP, DHCP, HTTP, etc.
Knowledgeable on Virtualization/KVM, Container/Docker, NVF and related technologies.
Knowledgeable in networking L2 and L3 on switch and router
Have a good or excellent interpersonal skills and able to work as a team
Knowledgeable on Network Management Systems, networking concepts and related technologies Knowing NBI/SBI prototocols, such as CLI, SNMP, REST API, gRPC, NETCONF/RESTCONF are a plus.
Must be “hands-on” (love to get hands dirty)
Knowledgeable on service provider deployment/operation, working on switches and routers are a plus
Having a Nokia/Cisco/Juniper network certification is a plus
Willing and keen to learn new things


Experience
Experience in design/implement/deploy a software
Strong Linux/Unix shell and datacenter networking knowledge
Hands-on experience including design, build, deploy, debug or trouble-shooting & fault-finding, etc.

Technologies/Products
Nokia SDN & NFV portfolio – Nuage, vEPC, VSR, NSP, SSG, etc.
Nokia IP Router portfolio - 7x50 XRS/SR/ESS/SRa and 7705/7210 portfolio
Nokia EPC/CPC portfolio - SGW, PGW, MME, SGSN and vEPC
VMWare ESXi, vCloud/vCenter, OpenStack, CloudStack, OpenFlow, KVM, Xen, Hyper-V
RHEL/CentOS, Ubuntu, Java, Python/PERL etc.

Social Skills (behavior, attitude, language knowledge, …)
Proven record in customer focus
Analytical problem solver
Proven presentation skills
Flexible
Eager to learn, willing to invest in continuous learning
Fluent in English – written and verbal communication

Working with us, you will have a positive impact on people’s lives and help to overcome some of the world’s most pressing challenges. We act inclusively and respect the uniqueness of people. At Nokia, employment decisions are made regardless of race, color, national or ethnic origin, religion, gender, sexual orientation, gender identity or expression, age, marital status, disability, protected veteran status or other characteristics protected by law. Nokia culture welcomes people as their true selves.

Job

Service Process Management - Automation Specialist

Primary Location

Asia Pacific & Japan-Indonesia-Indonesia-Jakarta",Full-time
QA Web Software Engineer - NusaTrip,Nusatrip,4 weeks ago,Be among the first 25 applicants,Entry level,Engineering,Information Technology and Services,",Responsibilities: ,,
Review functional and design specifications to ensure full understanding of individual deliverables.
Identify test requirements from specifications, map test case requirements and design test coverage plan.
Develop, document and maintain functional test cases and other test artefacts like the test data, data validation, harness scripts and automated scripts.
Execute and evaluate manual or automated test cases and report test results.
Hold and facilitate test plan/case reviews with cross-functional team members.
Identify any potential quality issues per defined process and escalate potential quality issues immediately to management.
Ensure that validated deliverables meet functional and design specifications and requirements.
Isolate, replicate, and report defects and verify defect fixes.
,Requirements:,
Bachelor degree in Information System is preferred.
3+ years of relevant QA technical experience.
Ability to create clear, concise detail oriented test plans/cases.
Ability to understand and create test plans from specifications or verbal communications.
Liaison with development team, and customer support
Knowledge in SQL/PHP/Java/Javascript programming languages is an advantage.",Full-time
Software Engineer Senior,FIS,2 hours ago,Be among the first 25 applicants,Associate,Engineering,Information Technology and Services,"Position Type

Full time

Type Of Hire

Experienced (relevant combo of work and education)

Education Desired

Bachelor of Computer Science

Travel Percentage

0%

General Duties & Responsibilities
Analyzes, designs, programs, debugs and modifies software enhancements and/or new products used in local, networked or Internet-related computer programs. (Code must be used in core version of applications available for sale commercially.)
Interacts with product managers and/or users to define system requirements and/or necessary modifications.
Participates in software design meetings and analyzes user needs to determine technical requirements.
Write technical specifications based on conceptual design and stated business requirements.
Writes code, completes programming and performs testing and debugging of applications using current programming languages and technologies.
Completes documentation and procedures for installation and maintenance.
Trains and communicates with internal Client Training, Client Relationship and Sales teams on systems application.
May be responsible for developing or executing project plans, budgets and schedules and for documenting work and results.
May deliver informational and decision-seeking presentations to technical and business groups to internal and/or external audiences.
Other related duties assigned as needed.
Education Requirements

A Bachelor’s degree in computer engineering, computer science or other related discipline or the equivalent combination of education, training, or work experience.

General Knowledge, Skills & Abilities
Knowledge of FIS products and services; in-depth knowledge of products and services in assigned line(s) of business
Knowledge of financial services industry
Knowledge of end-to-end systems development life cycles, e.g., waterfall, iterative and other modern approaches to software development
Knowledge of standards relevant to the software industry , e.g., ISO, CMM, Six Sigma
Knowledge of banking practices, regulations and operations within assigned line(s) of business
In-depth understanding of design patterns and their application
Fluency in developing and understanding sequence diagrams, class models, etc.
Proficiency in solutions design and requirements definition disciplines leveraging model driven design based tools and techniques including conceptual solution component models, business process models, use cases, etc.
Outstanding verbal and written communication skills to technical and non-technical audiences of various levels in the organization, e.g., executive, management, individual contributors
Excellent analytical, decision-making, problem-solving, team and time management skills
Ability to persuade and influence others on the best approach to take
Ability to estimate work effort for project sub-plans or small projects and ensure the project is successfully completed
Positive outlook, strong work ethic, and responsive to internal and external clients and contacts
Willingly and successfully fulfills the role of teacher, mentor and coach
May require in-depth knowledge of networking, computing platform, storage, database, security, middleware, network and systems management and related infrastructure technologies and practices
Fis Job Level Description

Advanced professional role. Requires a broad knowledge of the system development life cycle; products, services, practices, regulations and operations associated with the assigned line(s) of business; and software engineering alternatives. Requires proficiency in at least two higher-level programming languages. Evaluates systems specifications for complex business requirements, develops and prepares computer-based solutions. Analyzes problems in terms of detailed equipment requirements and capabilities, including those related to scalable applications, and cloud-based resources. Verifies program logic by preparing test data for trial runs. Receives general supervision and is competent to work at the highest level of all technical phases of software engineering while working on own or in a team environment most of the time. May be involved in providing assistance and training to lower level software engineers. Typically requires seven or more years software engineering work experience.

Privacy Statement

FIS is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients. For specific information on how FIS protects personal information online, please see the Online Privacy Notice.

Sourcing Model

Recruitment at FIS works primarily on a direct sourcing model; a relatively small portion of our hiring is through recruitment agencies. FIS does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings, our employees, or any other part of our company.

#pridepass",Full-time
System Engineer - IT Industry,RGF HR Agent,6 months ago,51 applicants,Entry level,Information Technology,Staffing and Recruiting,"Job Detail

Job Description

[As a system engineer, Introduce our company's ERP software developed in-house for Japanese companies.]
・Introduction and Maintenance of ERP packages, production management software, cost management software, operations, maintenance services etc.
・Build a long-term relationship with customers
※ Be responsible for about 5 clients per engineer

Requirements

・Possess proguraming ability (Open system such as Java)
・Ability to use SQL
・Ability to speak English above Conversational~Business level

・Experience of using ERP system over 2 years

・Proactive",Full-time
iOS Engineer - Lowokwaru,Ruangguru,3 weeks ago,Be among the first 25 applicants,Entry level,Engineering,Computer Software,"Job Description

& requirements
Ruangguru is a tech-enabled education company that provides a one-stop learning experience for students to have better access to quality content and service. Ruangguru has allowed students to access better quality educational content in the form of learning videos, question banks, test-prep materials, and study notes. Ruangguru platform has been proven to not only help families reduce the cost for education, but also elevate student outcomes.

WHAT YOU'LL DO?
Design and build advanced applications for the iOS platform
Collaborate with cross-functional teams to define, design, and ship new features.
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Coordinate across teams (Backend, Frontend, DevOps, Data, UI/UX, QA, Android, and etc.) on planning and execution.
WHAT ARE WE LOOKING FOR?
Fast learner & good analytical thinking
Experience as a Mobile Engineer or Software Engineer
Proven working experience in software development, with one published (or more) iOS apps in the app store
Comfortable with iOS technology and Swift programming language
Experience with third-party libraries and APIs
Nice to have experience working with Objective C
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Familiar with version control technologies like GIT
Having concern and awareness in business metric and business perspective
High problem solving and prefer doing to give impact to user and business/organization
Able to convey messages in short and clear manner to internal team members and to the general public
Required Skills

Mobile Application Development MVC iOS Development Objective-C Swift Mobile Development",Full-time
SYSTEM ENGINEER PABX/SIP - Jakarta,Phintraco Group,4 weeks ago,Be among the first 25 applicants,Entry level,Information Technology,Information Technology and Services,"Requirements Candidate must possess at least a Bachelor’s Degree in Engineering (Computer/Telecommunication) or equivalentAt least 1 year of working experience in the related field is required for this positionHave Experience in project and maintenance is a mustGood Knowledge in networkingFamiliar with installation and configuration system IP PABX/SIP TelephonyHaving experience in Linux/Redhat/Windows Server, MySQL, and VMwareFamiliar with installation OS Linux/WindowsUnderstanding in Web Server/Web Service Job Descriptions Manage and monitor all installed systems and infrastructureInstall, configure, test and maintain operating systems, application software and system management toolsProactively ensure the highest levels of systems and infrastructure availabilityMonitor and test application performance for potential bottlenecks, identify possible solutions, and work with developers to implement those fixesMaintain security, backup, and redundancy strategiesWrite and maintain custom scripts to increase system efficiency and lower the human intervention time on any tasksParticipate in the design of information and operational support systemsProvide 2nd and 3rd level support",Full-time
Senior Production Engineer,"McDermott International, Ltd",2 months ago,77 applicants,Associate,Management,Construction,"Job Overview

Responsible for Leading Production Engineering support assigned to the project. The Senior Production Engineer will be a member of the Engineering Department.

Key Responsibilities/Accountabilities
Support and disseminate Engineering policies and Yard procedures, participate for any improvements.
Support Division Engineering for providing input to the bid and historical data from the projects.
Attending/ provide training and provide feedback/improvement as required.
Ensuring that projects personnel assignment requirements are met.
Lead Production Engineering group assigned to the project in liaison with Construction Manager/Project Supt and ensuring that they provide the services necessary for the execution of the Project.
Monitor engineering personnel allocation to the projects during bids and execution and advise Construction.
Manager and Div. Engineer of any potential for overrun.
Coordinate all fabrication aspects of the projects and interface with other project disciplines (marine, engineering, etc) and support departments to provide services as necessary.
Review Project Documents includes scope of work, project specifications, key Contract Dates, constructability review, develop construction sequence, as a minimum.
Review Revision Orders and periodic review progress.
Review project execution plan along with planning, Prod. Engineering and fabrication personnel
Participate during Work Pack validation review.
Review and approve Work Pack Index and Work Pack deliverables.
Check that there are no errors, inconsistencies, oversights, and that the deliverables are in accordance with the WP Index Plan.
Ensuring the preparation of Material Take Offs (MTO) by MTO Department, authorizing the procurement of materials, ensuring Customer and McDermott furnished materials are available when required an ensuring that final material reconciliation is carried out.
Chair the Critical Operations Coordination Meeting during project execution.Coordinating the production of all erection procedures, layout drawings, lifting procedures, movements load outs and sea fastening procedures as prepared by Construction Engineering Department and ensuring that all procedures and calculations are submitted to the Customer for review and approval.
Review and identify any inconsistencies in the Project Documents and, if necessary, raise clarification through.
Technical Query and update close out status.
Ensure that the Construction Manager (or his assigned delegate) has approved inputs that are used in the executions.
Support and enforce of the implementation of safe working practice (include participate and encourage BBSM), high quality (include actively promoting Lesson Learns), productivity and compliance with the code of business conducts.
High standard of safe working practice, quality and productivity as well as compliance with the code of business conducts.


Basic Qualifications
Min. Engineering Bachelor’s Degree.
Min. +5 years of experience in Oil & gas Construction Industry


Company Overview

McDermott is a premier, fully-integrated provider of technology, engineering and construction solutions to the energy industry. For more than a century, customers have trusted McDermott to design and build end-to-end infrastructure and technology solutions—from the wellhead to the storage tank—to transport and transform oil and gas into the products the world needs today.

Primary Location

ID-Riau Islands-Batam

Job

Production (Eng)

Employee Status

Contract

Schedule

Full-time

Job Posting

Feb 17, 2021, 8:22:43 PM",Full-time
Software Engineer (Java) - Jakarta,Hukumonline.com,2 days ago,Be among the first 25 applicants,Entry level,Engineering,Telecommunications,"Job Description

& requirements

Job Description
Develop new user-facing features
Build reusable code and libraries for future use
Ensure the technical feasibility of UI/UX designs
Assure that all user input is validated before submitting to back-end
Collaborate with other team members and stakeholders
Requirements
Solid understanding of object-oriented programming
Skill for writing reusable Java libraries
Familiarity with concepts of MVC, JDBC, and RESTful
Knack for writing clean, readable Java code
Familiarity with build tools such as Ant, Maven, and Gradle
Proficient understanding of code versioning Git
Required Skills

Java MySQL HTML5 & CSS3 Javascript PostgreSQL",Full-time
Senior Software Engineer - Jakarta,COTTONINK (PT Cottonink Duo Kreasindo),4 weeks ago,Be among the first 25 applicants,Associate,Engineering,Information Technology and Services,"We need you in our team!

Requirements
Candidate must possesses at least Bachelor's Degree in Computer Science, Information Technology or equivalent;
We work on ReactJS, VueJS and PHP with (Laravel and Codeigniter) and are open to build up a team;
Candidate must have had programming experiences with one or two of the following languages - VB.NET, C#in production-grade systems;
Experienced in dealing with highly concurrent, distributes architectures/systems;
Have strong data structures and algorithms concepts;
Comfortable with working in a *nix environtment and using cli;
Experienced in building HTTP and RPC based services;
Willing to get hands dirty and not afraid of low-level details;
Familiar with deployment on cloud (AWS, Alibaba Cloud) with Jenkins, Ansible, Consul;
Experienced in SQL ad NoSQL databases like Mysql, Postgres, Redis, Elasticsearch;
Having at least 3-5 years of working experiences, especially in retail industry.
Responsibilities
Developing a highly-concurrent and distributed system;
Performing optimization and problem diagnosis;
Designing and developing for high-availability;
Designing, developing and testing new features;
Supporting release and documentation of developed features;
Estimating the effort required to develop and implement;
Defining coding standards and development processes;
Willing to learn and adapt in different technologies.",Full-time
Software Engineer,PT. SURYA MADISTRINDO,6 hours ago,43 applicants,Entry level,Engineering,Tobacco,"At PT Surya Madistrindo (Subsidiary of PT Gudang Garam Tbk), We make a lot of incredible things. But most importantly, we make the future, and are looking for people to join our Information Technology team of future shapers.
When you join PT Surya Madistrindo, you become a member of our performance culture comprised of diverse leaders, thinkers, innovators, dreamers and doers who are changing the future. Our people are committed to each other and to the realization of our vision through their unique job functions. Our businesses embrace the challenges of innovation so that we define the future.

Fresh graduated from any major are welcome, if you had 1 – 2 years experience is a plus. We need person that adapt to new technologies and passionate to learn. 
You will not only learn from mentor who will help you meets passing grade and get ready to accelerate with us, but also to meet productivity, quality, and customers satisfaction goals and objectives.
WHO ARE WE LOOKING FOR?

SOFTWARE ENGINEER

YOUR RESPONSIBILITY
 ·        Engaged in the full development life cycle such as developing, testing, deploying, maintaining, problem solving, and monitoring applications.
·        Conducting research on the latest technology to support user needs.
·        Daily progress report via project tools.
·        Do coding accurately and effectively as given standards.
 WHO ARE WE LOOKING FOR?
·        Basic knowledge in any SQL Programming.
·        Basic knowledge in OOP.
·        Basic knowledge in any web/mobile programming language, having knowledge in Java is a plus.",Full-time
Machine Learning Engineer - Merchant Platform,Gojek,6 days ago,113 applicants,Entry level,Engineering,Computer Software,"About The Role

Fasten your helmet and climb on board if you're ready to be our next Machine Learning Engineer. In this role, you will be in charge of building machine learning as a microservice, integrating it with the core service, and setting up data pipelines for structured/unstructured data. Working closely with the Data Science, Data Engineer and Product Engineer team, you will get exposure about machine learning, data pipeline, and service production tech stack. You’ll get ample opportunity to tackle and solve complex ML issues, and your efforts will help ensure a robust Gojek Merchant platform.

What You Will Do
Collaborate with Data Science team to gather the requirement for model parameter
Build the feature extraction script to automate the process for ML model
Collaborate with product engineer to integrate ML model into product/service
Process data from streaming/raw data based on user needs
Collaborate with other Data Engineers to develop data and model pipelines
Design distributed systems to apply machine learning and data science techniques
What You Will Need
At least 2 years of experience as a Software Engineer or ML Engineer, with fluency and experience in Clojure, Elixir, Python or Java
Basic knowledge in data science, and familiarity with ML libraries such as Pandas, Scikit, Tensorflow
Proven track-record building large-scale, high-throughput, low-latency production systems
Experience building data stream processes
Familiarity with SQL and NoSQL Database
Ablity to implement CI/CD and TDD

About The Team

The Merchant Platform team is a big group of over 50 team members based across Singapore and Indonesia. The gist of our role is to create an ecosystem of solutions to support our merchant-partners on the Gojek platform better manage and grow their business, while enabling both internal and external product stakeholders to develop merchant-based solutions in a sustainable manner.

Our merchant-partners are one of the core stakeholders in our Gojek ecosystem; they’re involved in various offerings such as food delivery, offline payment acceptance, POS, financial services, deals, and promotions. As the Merchant Platform team, we work closely with our merchant-partners to understand their daily needs and concerns, and relay these insights to our internal product stakeholders to build platforms and interfaces on our mobile apps that ensure our merchant-partners’ success on the Gojek platform. Should you have a question about how to run processes in the development of merchant-partner products, we are your people! Currently, our team has been specifically hard at work tackling issues within the engineering arena to enhance the experience our merchant-partners have utilizing our platform and services. We aim to establish Gojek as the most trusted partner for all our merchant-partners.

We’re a tight-knit, high-functioning team who genuinely love what we do, as we can see the results of our efforts play out in our merchant-partners’ everyday lives. When we aren’t working, you’d probably find us with our nose in books, or our eyes glued to the TV screen watching the latest Netflix drama. We’re equally concerned with each others’ personal and professional developments, and work together to get our job done well.

About Us

Gojek is a Super App. It’s one app for ordering food, commuting, digital payments, shopping, hyper-local delivery, and dozen other products. It is Indonesia’s first and only decacorn. It's also the only Southeast Asian startup to be part of Fortune's list of 'Companies That Changed The World.'

Our Mission: To create and scale positive socio-economic impact for our customers, driver-partners, business and MSMEs.

As of 2018, Gojek processed more than $9 billion annualised gross transaction value across all markets where it operates - in Singapore, Thailand, Vietnam and Indonesia. We have the largest food delivery product in Asia, (outside of China), and the largest payments wallet in Southeast Asia.

Our investors include Google, Facebook, PayPal, Sequoia Capital, Tencent Holdings among others.

Gojek is committed to building a diverse and inclusive workplace and is an equal opportunity employer. We do not discriminate on the basis of race, religion, national origin, gender, gender identity, sexual orientation, disability, age, education status, or any other legally protected status.",Full-time
